AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
4457073,64131531,82018,555,2016-08-05,1603,日语 说唱 安静 ,61,"日系jazz hiphop,鼓点里的浪漫气息",437360812,https://music.163.com/playlist?id=437360812
6348217,327424933,87585,264,2017-06-06,874,日语 摇滚 清新 ,50,『日摇』烟火盛放的清新夏夜,753054763,https://music.163.com/playlist?id=753054763
11116989,5832286,280628,811,2016-08-30,4488,轻音乐 日语 器乐 ,81,和风｜物哀，如得其情，则哀矜而勿喜,454371535,https://music.163.com/playlist?id=454371535
4413870,322035816,111927,372,2016-11-19,1991,器乐 轻音乐 古典 ,62,弦声摇曳&魅影婆娑——悲泣的提琴之魂,514033019,https://music.163.com/playlist?id=514033019
18513774,248426205,284085,1533,2018-07-25,3530,华语 民谣 古风 ,112,国风民谣 |满堂花醉三千客，一剑霜寒十四州,2331136477,https://music.163.com/playlist?id=2331136477
30213006,248755337,699144,2566,2018-01-03,6071,华语 古风 学习 ,192,『曲作精选』细数古风圈原创作曲人❶,2041615881,https://music.163.com/playlist?id=2041615881
33293234,97412802,542650,4563,2017-03-29,17642,欧美 放松 快乐 ,63,不得了！这些英文歌的热评信息量好大……,645384312,https://music.163.com/playlist?id=645384312
5705277,341030416,32778,266,2021-03-18,2782,欧美 摇滚 快乐 ,118,可爱摇滚｜一剂抵挡春困的上好良药,6666112560,https://music.163.com/playlist?id=6666112560
5987776,9366336,96382,790,2015-10-02,1535,影视原声 欧美 经典 ,54,音乐不眠！那些音乐题材的电影,112143747,https://music.163.com/playlist?id=112143747
564327,122356259,9031,90,2018-09-16,420,欧美 摇滚 蓝调 ,42,复古派对|一起跳欢乐的舞蹈吗,2423552205,https://music.163.com/playlist?id=2423552205
5821130,103672794,113474,549,2016-06-22,2213,浪漫 舞曲 轻音乐 ,32,【摇曳着的优雅与浪漫】三步华尔兹,406761044,https://music.163.com/playlist?id=406761044
15079022,5832286,401763,1133,2016-03-15,6592,古典 放松 器乐 ,41,古典｜从巴洛克到浪漫的你，温柔绵长。,317803115,https://music.163.com/playlist?id=317803115
3134383,83659385,70393,673,2018-06-02,1273,轻音乐 爵士 ACG ,94,夜雀酒吧｜爵士与幻想乡少女的酒宴,2252139184,https://music.163.com/playlist?id=2252139184
6893643,2445590,118694,673,2016-09-10,2035,钢琴 影视原声 ,49,电影中的钢琴曲｜最会讲故事¹,461600464,https://music.163.com/playlist?id=461600464
9949056,720841,120252,1070,2016-06-21,3017,电子 清新 放松 ,46,电音//有点撩骚的萨克斯,405849034,https://music.163.com/playlist?id=405849034
4324878,1653985242,73741,319,2019-08-10,700,日语 治愈 ,47,日系治愈：无法抗拒的温柔男声,2928393485,https://music.163.com/playlist?id=2928393485
30009560,44530116,500948,2575,2018-01-27,14904,轻音乐 放松 安静 ,104,助眠辑 | 自然音，伴灵动乐符萦绕耳畔,2075587022,https://music.163.com/playlist?id=2075587022
1492603,418592306,20810,52,2018-09-06,515,欧美 影视原声 钢琴 ,32,电影中的钢琴曲丨恋语哼唱，佳片有约,2407040250,https://music.163.com/playlist?id=2407040250
10642022,44293336,135606,819,2015-01-24,1893,运动 兴奋 电子 ,44,超带感骑行音乐无限循环公路党狂飙,48293091,https://music.163.com/playlist?id=48293091
8100079,1323364095,113000,1456,2019-03-14,1255,欧美 学习 流行 ,279,『学霸模式』让音乐来陪伴一天的学习,2708862630,https://music.163.com/playlist?id=2708862630
4035595,416512878,58872,434,2017-03-29,797,古典 钢琴 器乐 ,73,乐器之王——钢琴 | 从古至今的指尖魅力,644943140,https://music.163.com/playlist?id=644943140
29311374,85351650,739875,4131,2016-03-12,13070,电子 古风 民族 ,538,电子·中国风 I 感受角徵宫商的荡气回肠,316223640,https://music.163.com/playlist?id=316223640
4297147,45441555,151627,884,2017-04-07,1535,日语 电子 ACG ,108,水果味汽水｜清甜软萌音捕获你的心,689121986,https://music.163.com/playlist?id=689121986
2808665,306851500,35334,199,2020-03-02,829,经典 欧美 怀旧 ,44,诗人篇 | 那些藏在音乐里的文学宝藏,4893733399,https://music.163.com/playlist?id=4893733399
14360597,128196405,275861,854,2017-12-01,4858,欧美 民谣 治愈 ,36,北欧民谣 | 赐你一剂澄净安逸的心灵圣药,1997189512,https://music.163.com/playlist?id=1997189512
9888444,1650191296,70890,244,2019-09-26,1412,华语 古风 流行 ,136,国风新潮大赏 | 歌声岂合世间闻,3001035934,https://music.163.com/playlist?id=3001035934
2401664,374024623,27024,102,2020-10-04,605,轻音乐 钢琴 New Age ,235,钢琴独奏 | 当世界喧嚣时 宇宙依然宁静,5273305040,https://music.163.com/playlist?id=5273305040
8628285,1650191296,77694,343,2019-08-14,1868,欧美 R&B/Soul 夜晚 ,299,倾吐隐秘情绪｜百位R&B歌手精选,2936255937,https://music.163.com/playlist?id=2936255937
11159688,7394345,189758,840,2016-06-29,3497,电子 夜晚 孤独 ,87,空灵纯音 ' 孤独症患者的绮丽梦境,411796573,https://music.163.com/playlist?id=411796573
1723339,111089166,18620,145,2020-05-20,598,ACG 轻音乐 伤感 ,177,物哀纯音丨花开于彼岸 魂落于忘川,5026417815,https://music.163.com/playlist?id=5026417815
18365824,739256,306934,1068,2014-04-06,5372,电子 欧美 酒吧 ,298,世界顶级沙发酒吧音乐。,11067348,https://music.163.com/playlist?id=11067348
3954184,93937325,37534,327,2015-11-27,1041,安静 轻音乐 器乐 ,34,纯音 | 静淌时隙悄然掠过 | 助眠,132259437,https://music.163.com/playlist?id=132259437
2360486,45441555,83905,817,2016-09-27,1088,日语 治愈 ACG ,398,软萌合唱｜让可愛治愈这个世界,473445872,https://music.163.com/playlist?id=473445872
5508041,83659385,160510,1111,2017-09-10,2615,轻音乐 钢琴 ACG ,245,東方钢琴祭：幻梦终醒 本无不散之宴,913908853,https://music.163.com/playlist?id=913908853
29105536,64004173,835330,3954,2015-08-01,6865,日语 ACG 翻唱 ,89,日本人气唱见，每人一首良曲,94284266,https://music.163.com/playlist?id=94284266
4632865,46665989,72207,280,2015-10-07,2270,爵士 放松 欧美 ,51,「Cool Jazz」冷爵士让你全身心放松,113780871,https://music.163.com/playlist?id=113780871
18368584,12383468,341137,2385,2015-06-04,6925,古典 轻音乐 治愈 ,37,【古典音乐】治疗焦虑症的良药,78674080,https://music.163.com/playlist?id=78674080
